week_start,settlement_date,settlement_price,n_train_obs,observed_days,n_observed,ar1_phi,ar1_sigma,ar1_c,ar1_r_squared,model_mean,model_std,model_median,last_train_price,P_gt_2p90,realized_gt_2p90,P_gt_3p00,realized_gt_3p00,P_gt_3p10,realized_gt_3p10,P_gt_3p20,realized_gt_3p20,P_gt_3p30,realized_gt_3p30,P_gt_3p35,realized_gt_3p35,P_gt_3p40,realized_gt_3p40,P_gt_3p45,realized_gt_3p45,P_gt_3p50,realized_gt_3p50,P_gt_3p60,realized_gt_3p60,P_gt_3p70,realized_gt_3p70,P_gt_3p80,realized_gt_3p80,P_gt_3p90,realized_gt_3p90,P_gt_4p00,realized_gt_4p00,P_gt_4p10,realized_gt_4p10,P_gt_4p20,realized_gt_4p20,P_gt_4p30,realized_gt_4p30,P_gt_4p40,realized_gt_4p40,P_gt_4p50,realized_gt_4p50
2025-12-22,2025-12-29,2.825,19,3,3,-0.09422290692062017,0.004210338472920067,100.65910608964198,0.8322649148035502,3.204172134231308,0.03318472023864393,3.204288630503587,2.858,1.0,0.0,1.0,0.0,0.99908,0.0,0.55124,0.0,0.00144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,2026-01-05,2.812,26,3,3,-0.1349709400846686,0.0039598342084636385,222.2489889940277,0.7458835689248947,2.902435591062402,0.030275509148881965,2.9022395229421747,2.828,0.53212,0.0,0.00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,2026-01-12,2.796,33,3,3,-0.03981881085293476,0.004095387970035371,-15.486385083068704,0.7159940843160761,2.8538394257551642,0.033920579093542645,2.853804939978497,2.814,0.0856,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,2026-01-19,2.825,40,3,3,-0.09631809688279848,0.003828437690425792,-14.349662791989594,0.721996451725269,2.830416443427297,0.029966226675959325,2.830395336657589,2.795,0.00992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,2026-01-26,2.881,47,3,3,0.26500086247550064,0.004942512185356356,-2.2058239304664706,0.7212359853481829,2.800874911710663,0.05347068878817811,2.8004076546278505,2.824,0.03304,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,2026-02-02,2.875,53,3,3,0.2553845095289902,0.006469115981756139,-7.697893775856618,0.6089029880773659,2.8792311676519002,0.0690552424203664,2.8788423467986366,2.864,0.38144,0.0,0.04072,0.0,0.00072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,2026-02-09,2.902,60,3,3,0.3186250945667355,0.006855902281488081,-0.4784670279199584,0.5392740389182834,2.837188109637989,0.07806006438831961,2.8367715407141723,2.87,0.21124,1.0,0.01924,0.0,0.00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,2026-02-16,2.929,67,3,3,0.32252925258720966,0.006483484601642669,0.8184106839349571,0.5562641034791507,3.0168493819941404,0.0748869319579753,3.017477420561339,2.897,0.94088,1.0,0.59404,0.0,0.13344,0.0,0.00688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16,2026-02-23,2.938,74,3,3,0.3519425423362551,0.00634952998126668,-0.006944055708750179,0.5914471292276747,2.9007592711780616,0.07468763233277505,2.9006322351842595,2.927,0.50368,1.0,0.0936,0.0,0.00376,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,2026-03-02,2.997,81,3,3,0.33284103538935217,0.006579313732116258,0.09563663818876725,0.5311154194037652,3.005119027837537,0.07654728735684493,3.0050335127198062,2.934,0.917,1.0,0.52692,0.0,0.10684,0.0,0.00548,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,2026-03-09,3.478,88,3,3,0.32560713977069333,0.006513357153935951,0.09934871528812858,0.5555685458892143,3.3009715514831863,0.07471768332545883,3.3013894118506406,2.984,1.0,1.0,0.99992,1.0,0.99632,1.0,0.91116,1.0,0.50724,1.0,0.258,1.0,0.09168,1.0,0.02292,1.0,0.00324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,2026-03-16,3.718,95,3,3,0.2486575968753792,0.012319434012410037,0.23709900741448708,0.7150214012445819,4.18086701254693,0.13069161414929925,4.180538794008886,3.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,1.0,0.99788,0.0,0.98392,0.0,0.91776,0.0,0.73156,0.0,0.43956,0.0,0.18268,0.0,0.04608,0.0,0.00708,0.0
